NAME,B08303_001E,B08303_013E,state,county
"Schoharie County, New York",13168,519,36,095
"Fulton County, New York",23576,511,36,035
"Rensselaer County, New York",76709,1482,36,083
"Franklin County, New York",17811,270,36,033
"Queens County, New York",1071768,100359,36,081
"Washington County, New York",27121,629,36,115
"New York County, New York",823370,23711,36,061
"Cayuga County, New York",34106,643,36,011
"Rockland County, New York",136533,9205,36,087
"Niagara County, New York",96091,1017,36,063
"Essex County, New York",15712,569,36,031
"Nassau County, New York",647167,52649,36,059
"Schuyler County, New York",7692,137,36,097
"Chenango County, New York",20074,619,36,017
"Jefferson County, New York",49236,618,36,045
"Suffolk County, New York",711457,55367,36,103
"Wyoming County, New York",17374,298,36,121
"Oswego County, New York",51183,1070,36,075
"Wayne County, New York",42361,505,36,117
"Broome County, New York",81844,1303,36,007
"Erie County, New York",428056,5389,36,029
"Sullivan County, New York",30759,2411,36,105
"Orange County, New York",167043,15400,36,071
"Bronx County, New York",565022,54508,36,005
"Onondaga County, New York",209247,2511,36,067
"Clinton County, New York",33978,365,36,019
"Seneca County, New York",14340,205,36,099
"Putnam County, New York",47533,4396,36,079
"Herkimer County, New York",26947,748,36,043
"Ontario County, New York",51434,649,36,069
"Steuben County, New York",40509,689,36,101
"Hamilton County, New York",1695,51,36,041
"Chautauqua County, New York",52751,535,36,013
"Kings County, New York",1143209,81692,36,047
"Tioga County, New York",21640,360,36,107
"Orleans County, New York",16861,334,36,073
"Saratoga County, New York",112083,1700,36,091
"Columbia County, New York",26850,887,36,021
"Lewis County, New York",11125,334,36,049
"Westchester County, New York",445982,30192,36,119
"Delaware County, New York",18236,774,36,025
"Montgomery County, New York",20338,263,36,057
"Richmond County, New York",205533,31234,36,085
"St. Lawrence County, New York",40633,707,36,089
"Tompkins County, New York",45537,548,36,109
"Warren County, New York",30058,612,36,113
"Cortland County, New York",21576,319,36,023
"Dutchess County, New York",133296,10088,36,027
"Monroe County, New York",343266,4107,36,055
"Oneida County, New York",95604,1273,36,065
"Ulster County, New York",78729,4095,36,111
"Chemung County, New York",35928,716,36,015
"Livingston County, New York",27644,550,36,051
"Otsego County, New York",25908,749,36,077
"Greene County, New York",18977,790,36,039
"Albany County, New York",151780,1483,36,001
"Allegany County, New York",18911,518,36,003
"Cattaraugus County, New York",31782,736,36,009
"Madison County, New York",31297,512,36,053
"Schenectady County, New York",69185,902,36,093
"Genesee County, New York",28073,145,36,037
"Yates County, New York",9945,107,36,123
